Gender,Married,Dependents,Education,Self_Employed,Loan_Amount,Credit_History,Property_Area,Loan_Status,TotalIncome,Debt_to_Income_Ratio,Family_Size,Balance_Income,Credit_Risk_Category
Male,No,0,Graduate,No,128.0,1,Urban,Y,5849.0,21.884082749187893,1,457.78703703703707,Low Risk
Male,Yes,1,Graduate,No,128.0,1,Rural,N,6091.0,21.0146117222131,3,477.9537037037037,Low Risk
Male,Yes,0,Graduate,Yes,66.0,1,Urban,Y,3000.0,22.0,2,234.72222222222223,Low Risk
Male,Yes,0,Not Graduate,No,120.0,1,Urban,Y,4941.0,24.286581663630844,2,383.97222222222223,Medium Risk
Male,No,0,Graduate,No,141.0,1,Urban,Y,6000.0,23.5,1,467.3611111111111,Low Risk
Male,Yes,2,Graduate,Yes,261.5,1,Urban,Y,9613.0,27.202746281077708,4,740.550925925926,Medium Risk
Male,Yes,0,Not Graduate,No,95.0,1,Urban,Y,3849.0,24.681735515718366,2,298.75925925925924,Medium Risk
Male,Yes,3,Graduate,No,158.0,0,Semiurban,N,5540.0,28.51985559566787,5,425.0925925925926,High Risk
Male,Yes,2,Graduate,No,168.0,1,Urban,Y,5532.0,30.36876355748373,4,422.1111111111111,Medium Risk
Male,Yes,1,Graduate,No,261.5,1,Semiurban,N,12555.375,20.827733142180143,3,985.7488425925926,Low Risk
Male,Yes,2,Graduate,No,70.0,1,Urban,Y,3900.0,17.94871794871795,4,308.7962962962963,Low Risk
Male,Yes,2,Graduate,No,109.0,1,Urban,Y,4340.0,25.11520737327189,4,336.4351851851852,Medium Risk
Male,Yes,2,Graduate,No,200.0,1,Urban,Y,11179.0,17.890687896949636,4,885.2870370370371,Low Risk
Male,No,0,Graduate,No,114.0,1,Rural,N,4693.0,24.291497975708506,1,364.69444444444446,Medium Risk
Male,Yes,2,Graduate,No,17.0,1,Urban,Y,2385.0,7.127882599580714,4,186.94444444444446,Low Risk
Male,No,0,Graduate,No,125.0,1,Urban,Y,4950.0,25.252525252525253,1,383.56481481481484,Medium Risk
Male,No,1,Not Graduate,No,100.0,1,Urban,Y,3596.0,27.808676307007786,2,264.94444444444446,Medium Risk
Female,No,0,Graduate,No,76.0,0,Urban,N,3510.0,21.652421652421655,1,274.9074074074074,High Risk
Male,Yes,0,Not Graduate,No,133.0,1,Rural,N,4887.0,27.215060364231636,2,376.46296296296293,Medium Risk
Male,Yes,0,Graduate,No,115.0,1,Urban,Y,6100.0,18.852459016393443,2,481.71296296296293,Low Risk
Male,Yes,0,Not Graduate,No,104.0,0,Urban,N,7660.0,13.577023498694517,2,614.2592592592594,High Risk
Male,Yes,1,Graduate,No,261.5,1,Urban,Y,11580.0,22.58203799654577,3,904.4675925925926,Low Risk
Male,Yes,0,Not Graduate,No,116.0,0,Semiurban,N,4511.0,25.71491908667701,2,349.06481481481484,High Risk
Male,Yes,2,Not Graduate,No,112.0,0,Rural,N,5282.0,21.204089360090876,4,414.24074074074076,High Risk
Male,Yes,1,Graduate,No,151.0,1,Semiurban,N,6642.0,22.73411623005119,3,518.5462962962963,Low Risk
Male,Yes,0,Graduate,Yes,191.0,1,Semiurban,Y,9560.0,19.97907949790795,2,752.4537037037037,Low Risk
